Name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
Meghalaya Transport Corporation(MTC)  - 163370,1-Tura (Meghalaya) to Shillong,Tura ISBT,Mawiong ISBT,09h 30m,18:30,4:00,INR517,9Seats available,3.4301
NETWORK TRAVELS,1-Tura (Meghalaya) to Shillong,Tura,Shillong,13h 00m,19:00,8:00,500,37Seats available,3.644
name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
SEEMA TRAVELS,1-Shillong to Silchar,Barapani Flyover,Silchar-ISBT,08h 30m,20:30,5:00,INR650,46Seats available,2.2
name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Jagannath Travels and Tours Pvt. Ltd.,1-Silchar to Shillong,Silchar ISBT Ramnagar,Barapani Flyover,08h 30m,18:30,3:00,INR600,29Seats available,2.229
Jagannath Travels and Tours Pvt. Ltd.,1-Silchar to Shillong,Silchar ISBT Ramnagar,Barapani Flyover,08h 30m,18:30,3:00,INR600,29Seats available,2.229
Jagannath Travels and Tours Pvt. Ltd.,1-Silchar to Shillong,Silchar ISBT Ramnagar,Barapani Flyover,08h 30m,18:30,3:00,INR600,29Seats available,2.229
Jagannath Travels and Tours Pvt. Ltd.,1-Silchar to Shillong,Silchar ISBT Ramnagar,Barapani Flyover,08h 30m,18:30,3:00,INR600,29Seats available,2.229
Jagannath Travels and Tours Pvt. Ltd.,1-Silchar to Shillong,Silchar ISBT Ramnagar,Barapani Flyover,08h 30m,18:30,3:00,INR600,29Seats available,2.229
Jagannath Travels and Tours Pvt. Ltd.,1-Silchar to Shillong,Silchar ISBT Ramnagar,Barapani Flyover,08h 30m,18:30,3:00,INR600,29Seats available,2.229
